Pályázat témaköre,Thematic area,#,Azonosító,Pályázó szervezet neve,A pályázat címe,Project name,Settlement,Város,Project Promoter,Project name and number,Project Summary,Projekt összefoglaló,,Amount (EUR)
Környezetvédelem és fenntartható fejlődés,"environment and sustainable development",65,NCTA-2013-3057-E,Válaszúton Hagyományőrző és Környezetvédő Alapítvány,Légszennyezés.hu - aktuális és várható légszennyezettség és egészséghatásai,"\"Legszennyezes.hu\" [airpollution.hu] – current and predicted air pollution and its health effect",Törökszentmiklós,Törökszentmiklós,On Crossroads Foundation,"HU05-0003 - \"Legszennyezes.hu\" [airpollution.hu] – current and predicted air pollution and its health effect","The legszennyezes.hu (air pollution) portal will operate like a weather forecast website, providing information about air pollution in Hungary. This site provides instant information about actual air pollution of small and big cities, about expected air quality and the health risks of pollution and course of actions. The site has also information about settlements without monitoring stations as well. The main target groups of the website are (1) those endangered more by the risks of air pollution (pregnant mothers, and mothers with small children, people with respiratory problems, etc.); (2) advocacy groups of environmental activists; (3) schools and teachers.","A legszennyezes.hu egy időjárási portálhoz hasonlóan teljeskörű információt szolgáltat a hazai nagy és kisvárosok pillanatnyi légszennyezettségéről, a levegőminőség várható alakulásáról, és az aktuális légszennyezettség egészségügyi hatásairól térképes és részletes települési oldalak formájában. Az oldal nem csak a mérőállomásokkal rendelkező települések, hanem a többi hazai településről is információt ad és az aktuális helyzetre szabott teendőket ajánl. Az oldal fő célcsoportjai a kisgyermekes anyukák, kiemelten a várandós, GYESen lévő édesanyák, a felsőfokú természettudományos tanulmányaikat végző fiatalok, környezetvédelmi irányultságú oktatási intézmények pedagógusai, légzőszervi megbetegedésben szenvedők (asztmások/allergiások), aktív sporttevékenységet végzők és környezetvédelem iránt elkötelezett személyek.",,€4 277
Környezetvédelem és fenntartható fejlődés,"environment and sustainable development",92,NCTA-2013-3601-E,Pangea Kulturális és Környezetvédelmi Egyesület,Gaia rabjai - Önkéntesek aktív természetvédelmi beavatkozása az olaszfalui Eperjes-hegy geológiai tanösvényén,"\"Gaia’s slaves\" - active environmental intervention of volunteers on the geological study path of Eperjes Hill in Olaszfalu",Pénzesgyőr,Pénzesgyőr,Pangea Cultural and Environmental Association,"HU05-0010 - \"Gaia’s slaves\" - active environmental intervention of volunteers on the geological study path of Eperjes Hill in Olaszfalu","The goal of \"Gaia’s slaves\" is to rehabilitate forgotten geological and further natural values with community involvement in Eperjes Hill, Olaszfalu. By the end of the project geological excavations will be carried out as well as a 4.5 km long abandoned educational trail will be restored by volunteers who will not only clean the pathways, but also realize related information boards and renew tourist signs. The project seeks to add to the touristic development of the region, promote environmental consciousness, and commit local communities and volunteers to nature conservation and the long-term sustainability of valuable nature heritage sites.","A \"Gaia rabjai” projekt szervezői az olaszfalui Eperjes-hegy geológiai feltárásait szeretnék újra látogathatóvá tenni az elfeledett geológiai, természeti értékek felújításával, önkéntesek bevonásával. Az itt található egykori tanösvényt is helyreállítják az információs táblák és jelzések felújításával. Az aktív természetvédelmi munkába bevonják a helyi lakosságot, a természetvédelem iránt fogékony fiatalokat, ami a terület hosszú távú fenntartását segíti elő és az együttműködő szervezetek önkéntes bázisa is gyarapodhat. A munkák során kiirtják a geológiai értékeket beborító bozótot és szóróanyagot készítenek a tanösvényről, melynek segítségével az érdeklődők önállóan is bejárhatják a tanösvényt, valamint a helyi fesztiválon is bemutatják a terület értékeit.",,€8 071
Környezetvédelem és fenntartható fejlődés,"environment and sustainable development",16,NCTA-2013-1980-E,Szelence Egyesület,Sokoróalja éléskamra program,"\"Sokoróalja\" larder programme",Tényő,Tényő,Szelence Association,"HU05-0019 - \"Sokoróalja\" larder programme","WIth this program Szelence Association is supporting food sovereignity (i.e. local production based consumption) of the Sokoróalja micro-region. Direct target group is the inhabitants of the micro-region ( Felpéc, Győrszemere, Kajárpéc, Sokorópátka, Tényő villages). Indirect target group is the inhabitants of the wider geographical context, especially the city of Győr and its surroundings. The activities include community development of the cooperating organizations, a survey about the producers’ and consumers’ habits (at least 150 families as consumers and at least 75 families as producers), organizing 3-4 local product markets, promotion of community supported agriculture and the launch of a bag-network – pilot system based on social network – with a delivery point in Győr, supplying public catering with local products, and various means of related communication activities.","A Szelence Egyesület Sokoróalja éléskamra programjának célja a mikrotérség élelmiszer önrendelkezésének - a helyben megtermelt javak helyben történő fogyasztásának - elősegítése, ezzel hozzájárulva a globális környezeti problémák mérsékléséhez. A tevékenységek közvetlen célcsoportja a térség településeinek – Felpéc, Győrszemere, Kajárpéc, Sokorópátka és Tényő – lakossága, közvetetten Győr és vonzáskörzetének lakói. A program során együttműködést alakítanak ki a résztvevő szervezetek közt, felmérik a fogyasztói és termelői igényeket (legalább 150 családnál és 75 termelőnél). A helyi termékek piacra juttatását 3-4 helyi termék vásár szervezésével, hirdetésekkel, és bolti helyi termék sarkok kialakításával valamint egy kísérleti szatyor hálózat létrehozásával segítik. Emellett törekednek a helyi termékek közétkeztetésbe való bejuttatására.",,€7 724
Környezetvédelem és fenntartható fejlődés,"environment and sustainable development",25,NCTA-2013-2259-E,SZIKE Környezet- és Egészségvédelmi Egyesület,"AZ ÉN VETEMÉNYESKERTEM - Program az újraéledő településért, a megújuló talajokért és az egészséges élelmiszerekért Csömörön","My kitchen garden - Plan for the renewable soil, self-supporting settlement, and the health food in Csömör",Budapest,Budapest,SZIKE Environmental & Health Association,"HU05-0014 - My kitchen garden - Plan for the renewable soil, self-supporting settlement, and the health food in Csömör","This compost project seeks to promote commonly used recycling techniques of organic waste and to prevent waste transportation and incineration as well as to foster organic farming on the household level. Local inhabitants, teachers, students and children of primary school and nurseries, municipalities and any people who are interested in organic farming will be addressed for instance by the means of on-site presentations on using compost equipment. Beside compost activities a gardening program is launched in the local primary schools and kindergartens, while an organic farm is to be set up in Csömör. The whole program is advertised with different brochures and community marketing tools.","A SZIKE komposztálást népszerűsítő programjával Csömörön szeretné elérni a szerveshulladékok (zöldjavak) hasznosítását, és megszüntetni azok elszállítását és égetését. A komposztálást ismeretterjesztő előadásokkal és kiadványokkal valamint komposztáló edények szétosztásával népszerűsítik. Fejlesztik továbbá a csömöri Közösségi Tanulókert biogazdaságát és segítenek beindítani a komposztálást az iskolákban és óvodákban.",,€9 905
Környezetvédelem és fenntartható fejlődés,"environment and sustainable development",61,NCTA-2013-2959-E,Fenntarthatóság Felé Egyesület,Környezeti szempontok érvényesítése a 2014-2020-as uniós források felhasználásában,Enforcement of environmental considerations in the use of 2014-2020 EU funds,Budapest,Budapest,Towards Sustainability Association,HU05-0022 - Enforcement of environmental considerations in the use of 2014-2020 EU funds,"The project promoter aims at achieving the integration of environmental concerns in the Operative Programs of the 2014-2020 EU Structural Funds’ (mainly regional development, environment, energy, human resources, cross-border programmes). Only this can guarantee that environmentally sound projects will be approved and financed from EU funds in Hungary in the next programming period. The target groups are public officers and civic organizations. The organization assists and advises these target groups on how to integrate environmental criteria in SF calls for proposals. Project activities include: coordination of the Network of Green Regions (a coalition of environmental organisations engaged with regional development issues); general advocacy (meetings with and written proposals for relevant officials); screening and making comments on SF implementation documents; 7 regional forums; publication of a guide on the integration of environmental criteria into SF calls and proposals; website editing, press releases, etc.","A projekt célja a környezeti szempontok érvényesítése a 2014-2020-as uniós források felhasználásában, főleg a területfejlesztési, környezeti és energetikai, emberi erőforrás és határon átnyúló programok végrehajtási dokumentumaiban. Közvetlen célcsoport a Zöld Régiók Hálózata (környezetvédő civilek a területfejlesztésben) koordinátorai és tagsága, megyei önkormányzatok munkatársai, a 2014-2020-as uniós programok irányító hatóságainak munkatársai. Közvetett célcsoport a strukturális alapok potenciális pályázói, kedvezményezettjei, Magyarország lakossága. A projekt során véleményezik a strukturális alap programok végrehajtási dokumentumait és útmutatót készítenek arról, hogy a környezeti szempontokat hogyan lehet érvényesíteni a pályázati kiírásokban. A javaslatokat találkozókon és írásos javaslattételek segítségével osztják meg a kormányzati szereplőkkel. A civil szervezeteknek régiónként egy-egy fórumot tartanak a strukturális alapok új kiírásairól.",,€6 516
Környezetvédelem és fenntartható fejlődés,"environment and sustainable development",43,NCTA-2013-2627-E,Szegedi Waldorf Társas Kör Egyesület,A MI KERTÜNK,Our garden,Szeged,Szeged,Waldorf Partnership Association of Szeged,HU05-0011 - Our garden,"The project is to realise a biodynamic school/community garden and a furnished outdoor community space of 600 sq meter through community involvement and design in the Szeged Waldorf School. Students, their families, teachers and other workers of the school are adressed alike as well as further local environmental organisations and civic groups are to be involved. The garden and community space will serve in the future not only as a permanent venue for gardening classes and environmental education, but also as a vivid community centre and land resource for families of the neighbourhood. By these means the project seeks to contribute to local environmental and social sustainability.","A \"Mi kertünk\" szemléletformáló előadásokkal, képzésekkel, workshopokkal és egy biodinamikus kert létrehozásával szeretné hozzájárulni a fenntarthatósági problémák megoldásához. A kertet ősztől tavaszig tankertként, nyáron pedig a Szívességbank önsegítő rendszerében működtetik. A kerthez komposztálót és szelektív hulladékgyűjtési és esővízgyűjtési rendszert építenek és a biciklitárolót is bővítik. A projekt célcsoportjai és megvalósítói az egyesület céljaival azonosuló vagy szimpatizáló, azokért önkéntes munkát vállaló felnőttek és gyermekeik, az egyesület tagjai és tisztségviselői és az intézményekbe járó gyerekek szülei (kb. 180 család) és a tanárok, munkatársak (kb 45 fő). A létrejövő mintakert és közösségi tér pedig minden érdeklődő számára nyitott lesz.",,€6 496
Környezetvédelem és fenntartható fejlődés,"environment and sustainable development",30,NCTA-2013-2376-E,WWF Világ Természeti Alap Magyarország Alapítvány,Civil részvétel erősítése a döntéshozatali folyamatokban vizeink védelme érdekében,Supporting civic participation in decision making processes in order to save our waters,Budapest,Budapest,WWF Hungary,HU05-0021 - Supporting civic participation in decision making processes in order to save our waters,"The implementation of the EU Water Framework Directive is an obligation for Hungary that is realised through River Basin Management Plans (RBMP). The previous plan (of 2009) has had several gaps and weaknesses identified by NGOs and also in reports of the EU Commission. This project aims to influence the next RBMP planning period starting in 2013 with the publication of a Significant Water Management Issues document based on civil society recommendations and policy arguments supported by field studies representing how the everyday management practices influence the status of water bodies. National and international experience exchange in the form of conferences, forums and working group meetings will help green NGOs to contribute to RBMP and flood risk plans and enhance public participation in the implementation of the directives.","A Vízkeret Irányelv bevezetésének kötelezettsége hazánkban is a vízgazdákodási tervek (VGT) elkészítésével valósul meg. A következő tervezési periódus 2013 és 2015 között lesz. Az előző, 2009-ben befejezett tervezést sok hiányosság és gyenge pont jellemezte, melyeket a civil szervezetek észrevételeztek, és az EU Bizottság jelentésében is szerepelt. A projekt célja a VGT tervezési periódusának befolyásolása, mely 2013-ban a Jelentős Vízgazdálkodási Kérdések dokumentumának kihirdetésével kezdődik. A WWF zöld civil szervezetek és vízpolitikában jártas szakemberek bevonását tervezi, hogy a természetvédelem, a fenntarthatóság és az ökológiai igények képviselete minél erősebb legyen. A civilek és a szakértők részvételével értekezleteket szerveznek, ahová a kormányzati szereplőket is meghívják. Javaslatokat és ajánlásokat készítenek a víz startégiai dokumnetumokhoz, a civilek számára pedig útmutatót készítenek. Ez a munka terepi tanulmányok elkészítésével egészül ki, amik azt vizsgálják, hogyan hat a vízgazdálkodás napi gyakorlata a víztestek minőségére. Vizeink állapota számos emberi tevékenység által terhelt, mint pl. az árvízi védekezés. Ezért fontos eleme a programnak az Árvíz Irányelvvel kapcsolatos tájékozattás és az, hogy milyen szerepe van ennek kidolgozásában a társadalmi szereplőknek. A tapasztalatcsere egyaránt segíti majd a civilek szerepvállalását a VGT előkészítése, és az árvízkockázati térképek elkészítése terén, és növeli a társadalom bevonásának eredményességét az irányelvek megvalósítása során.",,€7 494
Közösség és szervezetfejlesztés,community and organizational development,57,NCTA-2013-2934-C,"\"FOGADÓ\" Észak-Abaúji Közösségfejlesztők Köre Egyesület","Kulcskérdés: a KEDV-ENERGIA, avagy ELŐRE MENTÜNK","Key issue: the fun-energy, we have gone ahead",Gönc,Gönc,"\"FOGADÓ\", Society of Community Developers in North-Abaúj","HU05-0079 - Key issue: the fun-energy, we have gone ahead","Community participation is completely absent from regional development planning. The main reason for that is the inactivity the NGOs and their members who could legitimize the community-planning process with their presence. Thus, this project aims at generating public actions based on community planning. The actions have to be based on local public needs and have to relate to every-day life. Participants and target groups are families, informal groups an the decision makers, opinion-shapers of the Northern-Abaúj region: teachers, preachers, family helpers, town leaders.","A FÉSZAK-KÖR projekt célja a regionális tervezésben való közösségi részvétel fejlesztése. Ennek érdekében az Észak-abaúji fejlesztők olyan közösségi akciókat generálnak, melyek a helyi igényekből indulnak ki, és a mindennapi élethez kapcsolódnak. A résztvevők családok és baráti körök, az Észak-abaúji települések véleményformálói, stratégiai szereplői - pedagógusok, lelkészek, településvezetők, családsegítők.",,€9 390
Közösség és szervezetfejlesztés,community and organizational development,31,NCTA-2013-2382-C,SZABAD-SAJTÓ Kulturális és Ifjúsági Közhasznú Egyesület,Zenehíd – Veszprém megszólal,Musicbridge – Veszprém sounds,Veszprém,Veszprém,"\"FREE-PRESS\" Cultural and Youth Association of Public Utility",HU05-0099 - Musicbridge – Veszprém sounds,"In the framework of Music Bridge project a civil cultural roundtable is created in Veszprém that can become a community creating new ways for culture and common opinions. By the end of the project the organization will have 21 partners. The roundtable will be used to research local cultural needs, and then the program of the roundtable will be presented in the Veszprém Portrait oline magazine. Direct target groups are cultural civil organizations, artists, performers related to Veszprém (about 300 people), and indirectly everyone interested in culture (ca. 6000 people).","A „Zenehíd – Veszprém megszólal” projekt során létrehozzák a Veszprémi Civil Kulturális Kerekasztalt, amely véleményt és új kulturális irányt megfogalmazó civil közösség lesz. A kerekasztal tevékenysége során közösséget épít, és közvetíti céljait az önkormányzat felé. A közösség ezután hatékonyan fel tud lépni a kulturális közéletben. A résztvevők a Veszprémben élő és a városhoz kötődő alkotók, művészek, kulturális civil szervezetek.",,€8 344
Közösség és szervezetfejlesztés,community and organizational development,35,NCTA-2013-2449-C,Hangya- Banda Ifjúsági Egyesület,Zselic Kincsei- kincset érő Zselic,,Kaposmérő,Kaposmérő,Ant-Gang Youth Association,HU05-0105 - Source of Zselic – Precious Zselic,"The aim of the project is to promote, support and develop the creation of an economy, based on local resources. A showroom will be set up in Kaposmérő village where local farmers’ products will be presented. This showroom and a webpage: www.zselickincse.hu, contribute to the contact between craftsmen, small producers living and working in the 23 settlements of Zselic region and those people look for their products. During the project they will have ample opportunity and be encouraged to build up contacts and relations with each other and with the population. They will promote their products in the market, strengthen tourism and economy of the region and they wil motivate administrative institutions, civic organizations and enterprises to purchase from products on the webpage.","A Hangya- Banda Ifjúsági Egyesület a zselici térség 23 településéről gyűjt össze kézműves és egyéb termékeket, melyeket a Zselic Kincse bemutatóteremben állítanak ki. Ezen túl a térség civil szervezeteiből civil hálót hoznak létre, akik a Zselic Kincse sátrat működtetik kulturális és közösségi rendezvényeken. Az összegyűjtött termékeket honlapokon, kiadványokon népszerűsítik, a projekt végén megszervezik a Zselic Kincse fesztivált.",,€7 954
Közösség és szervezetfejlesztés,community and organizational development,20,NCTA-2013-2084-C,Arrabona Városi Nyugdíjas Egyesület,Új korszak kezdete a nyugdíjas klubok működésében,The beginning of a new era in the life of the Pensioners’ Club,Győr,Győr,Arrabona Urban Pensioner Association,HU05-0107 - The beginning of a new era in the life of the Pensioners’ Club,"The neded for the project arose from the understanding that the pensioners’ clubs activities should be better adapted to their everyday life and to the present opportunities, e.g. the members hardly learn anything about IT from each other. Therefore the aim of the project is to change the club's management modes. They want to make the life of the 44 clubs more colourful and attractive. New members will be involved into club management and the number of managers will be doubled to find representatives for new activities. IT should be used for information flow in the 44 clubs. Within the framework of the project the clubs get to know: the registration process of an NGO, grant proposal writing, the Internet, electronic administration, and acquire the skills to learn from each other. The results are useful for the 44 participanting clubs, but the changes will be felt by 2000 pensioners, and affect other 82 regional clubs where further 3000 pensioners can lern about the changes.","A projektben az arrabona nyugdíjasszervezet működését újítják meg, hogy az általuk üzemeltetett klubok új programokat tudjanak indítani. Ezért a vezetőket továbbképzik (IT, pályázatírás, menedzsment) és új résztvevőket vonnak be valamint informatikai hálózatba kötik a klubokat.  A klubokban megvalósul a munkamegosztás, színesebb programok lesznek, Internetes megjelenés előtérbe kerül.",,€6 662
Közösség és szervezetfejlesztés,community and organizational development,1,NCTA-2013-0708-C,Barangoló Közhasznú Egyesület,Civilek Háza létrehozása Végegyházán,Creating/Building a Civil House in Végegyháza,Végegyháza,Végegyháza,Barangolo Public Benefit Organization,HU05-0074 - Creating/Building a Civil House in Végegyháza,"One of the main problems of civic organisations in Végegyháza is to find a place for their programs, as the community centre cannot provide a regular place for the civic and self-organised communities. The local government can't take the financial and professional responsibilities to maintain the Civic House. A solution is to create a Civil House in cooperation with civic organizations (a union). The house can be a place for new services as well. The union plans to maintain the centre following an annual plan, made and authorized by the Civic Council and coordinated by the project promoter. This program provides the opportunity to set an example for small settlements, as it shows the power of citizens to develop their living place.","A projekt célja Civilek Háza létrehozása Végegyházán a község civil szervezeteinek, önszerveződő közösségeinek működési hely biztosítása, rendezvények, képzések, előadások szervezése, és a szervezetek rendezvényeinek technikai hátterének biztosítása. A program közvetlen célcsoportja a szervezetek tagsága, mivel a Civilek Háza elsősorban a szervezetek számára nyújt szolgáltatásokat. A szervezeteken keresztül közvetett célcsoporttá válik a község teljes lakossága és a környező településeken élők is. Kiemelt célcsoport a gyermek és ifjúsági korosztály, hiszen a község hátrányos helyzetét ők sínylik meg leginkább.",,€9 812
Közösség és szervezetfejlesztés,community and organizational development,6,NCTA-2013-1148-C,Bűnmegelőzési Központ Somoskőújfalu Polgárőr Közhasznú Egyesület,"\"Egységben a CIVIL -erő"\\"","\"Unity – is CIVIL strength"\",Somoskőújfalu,Somoskőújfalu,Crime Prevention Center is a Non-Profit Association of Somoskőújfalu,"HU05-0076 - \"Unity – is CIVIL strength"\","The association aims to raise the inhabitants’ sense of security in Somoskőújfalu and also to develop the association in order to protect local values. By launching the ’Neighbourhood for Each Other Movement’ they encourage more active community life, closer cooperation and build a safe settlement. During the project various methods will be applied, such as discussions, conferences, team buildings, a village day, a professional day and recruitment, etc. As a result of these programs, cooperation among civic organizations will strengthen and the village community will be more receptive towards community matters.","A projekt célja a somoskőújfalui lakosok biztonságérzetének növelése, a Szomszédok Egymásért Mozgalom elindítása és aktívabb közösségi élet, szorosabb összefogás elősegítése a civil szervezetek közt. Mindezt csoportbeszélgetésekkel, falunappal, csapatépítéssel és önkéntesek toborzásával szeretné elérni az egyesület.",,€5 571
Közösség és szervezetfejlesztés,community and organizational development,45,NCTA-2013-2641-C,Szúcs Községért Egyesület,SZERELEM PARK,Love Park,Szúcs,Szúcs,For Szúcs Village Organization,HU05-0100 - Love Park,"The direct objective of the project is to inspire the inhabitants of Szúcs for a joint action to bridge the two parts of the settlement together symbolically. The aim of the project is to reduce the distance and tension between the different social groups and the Roma and non-Roma population. The organization will achieve these goals by involving more people in their work, and develop the community by organizing a monthly ’village workshops’. The target groups are the inhabitants of the village (401 people) regardless of their gender, age, ethnic and social affiliation.","Szúcs Egertől 23 km-re fekszik, két településrészét, az Ófalut és a Bányatelepet 2,5 km távolság választja el egymástól. A projekt célja, hogy a régi bányászfalut kimozdítsa elmaradott gazdasági-társadalmi helyzetéből, azáltal, hogy közös cselekvésre serkenti a szúcsi lakosságot. El kívánják érni a falurészek, a társadalmi csoportok, a romák-nem romák közötti feszültségek csökkentését, feloldását. Ez közös cselekvésre épül, amely a két településrész közötti tavacska közösségi térré alakítására koncentrál: a Szerelem parkra, benne a tóra és a Szerelem szigetre. Eközben a célcsoportok személyes kapcsolatba kerülnek egymással, és közvetlenül részt vesznek Szúcs és önmaguk fejlesztésében, dinamizálásában. Ebben a folyamatban a fejlesztő egyesület is erősödik, fejlődik, és keretét tudja adni a falu közösségéhez való tartozás érzésének.",,€9 822
Közösség és szervezetfejlesztés,community and organizational development,72,NCTA-2013-3129-C,Szirák Polgárosodásáért Alapítvány,Akadémia a faluért,,Szirák,Szirák,Foundation for the Civic Renewal of Szirák,HU05-0103 - Academy for the village,"Szirák village has 1200 inhabitants of which more than 50% are Roma. Unemployment is very high. The aim of the project is to support the community development of Szirak with the help of students and teachers from Corvinus University of Budapest. They develop a training program that will improve horticultural knowledge, entrepreneurial skills and the self-esteem of participants (50 participants, 1 booklet for dissemination to participants and to other NGOs). The ultimate goal is to imbue participants with enough professional and personal confidence to start household farming and mushroom cultivation. They will also carry out comprehensive community open space planning. Based on these studies, the village municipality and NGOs will be able to submit joint grant applications to turn the plans into reality. The target group consists of economically disadvantaged adults of both Roma and non-Roma descent and pupils of the local school’s agricultural education program.","A projekt célja Szirák község- és közösségfejlesztése a Budapesti Corvinus Egyetem oktatóival és hallgatóival való együttműködésben. A célcsoport elsősorban a szegényebb társadalmi rétegből kikerülő roma és nem-roma felnőtt lakosság és a helyi iskola gazdaképzésében résztvevő főleg roma fiatalok, akik kertészeti és gazdálkodási képzésben vesznek részt. A cél hogy a résztvevők megfelelő tudást és bátorságot nyerjenek a háztáji gazdálkodás és a gombatermesztés elindítására. Indulásukat szaktanácsokkal is segítik, és elkészül Szirák arculati terve is, hogy az épített örökség megőrzésére és a zöldfelületek, szabadtéri közösségi terek kialakítására az önkormányzat és/vagy civil szervezetek pályázatokat tudjanak benyújtani. A programban részt vesz a helyi önkormányzat és iskolával, a vanyarci Veres Pál Polgári Egyesület, a Romanes Egyesület. A kidolgozott tananyagot és tapasztalatokat a Katalizátor Hálózat segítségével más szervezetek számára is hasznosíthatóvá teszik a szervezők.",,€6 651
Közösség és szervezetfejlesztés,community and organizational development,40,NCTA-2013-2563-C,Magyarország Természeti és Kulturális Örökségéért Alapítvány,Vízimalmok kalákában,Watermills in “kaláka” (build by the community),Győr,Győr,Foundation for the Hungarian Natural and Cultural Inheritance,HU05-0078 - Watermills in “kaláka” (build by the community),"The project aims to strengthen the foundation and develop the community and participation of volunteers and local people. The number of the volunteers will be doubled through this project and the foundation will be able to implement activities what they didn't have capacity for so far. A hiking route will be formed which introduces the 25 old water mills of Pápateszér. Thus, the participants will have practical experience about their own potential and the power of cooperation. The direct target groups are volunteers, former and present owners of the water mills (80 people). The indirect target group are residents of the Pápa, Bakonyalja regions.","A projekt célja a Magyarország Természeti és Kulturális Örökségéért Alapítvány megerősítése valamint közösség és szervezetfejlesztés helyi emberek, önkéntesek, egykori és mai malomtulajdonosok részvételével. A projekt során létrehoznak egy kiránduló útvonalat is, mely Pápateszéren 25 vízimalmot mutat be.",,€7 750
Közösség és szervezetfejlesztés,community and organizational development,69,NCTA-2013-3120-C,Hidasnémeti Alapítvány,"Együtt, egymásért, a közösségért","Together, for each other, for the community",Hidasnémeti,Hidasnémeti,Foundation of Hidasnémeti,"HU05-0102 - Together, for each other, for the community","In a short time more than 60 (in many cases opinion-leading) families had moved away from Hidasnemeti and Slovak families have moved to their houses. As a censequence the wholesome ties, the cohesion of the community seems to begin perishing. Several new community-developing focused projects have been launched recently in the area. However, in this new situation community development needs to be reconsidered. The organization wants a more productive community-developing activity, to strengthen the identity of the settlement, to encourage people to be more open to each other; realize their local recourses, and assist citizens to become more pro-active.","Hidasnémetiből rövid idő alatt több mint 60 család költözött el, akik helyére új, szlovák nemzetiségi családok költöztek. Az egykori közösségi kohézió visszaállítására számos közösségfejlesztő program indult. A projekt célja, hogy a Hidasnémeti Alapítvány közösségfejlesztő köreit megújítva élénkítse fel a település közösségi életét. A fejlesztők a lakosság bevonásával szeretnék feltárni a hiányterületeket és erősíteni a helyi erőforrások használatát, erősíteni a lakosság proaktivitását. Ezen célokat műhelymunkák, képzések, tanulmányutak és számos közösségi esemény szervezésével szeretnék elérni.",,€7 569
Közösség és szervezetfejlesztés,community and organizational development,27,NCTA-2013-2349-C,Galagonya Egyesület,Tegyünk Együtt Alsónánáért!,Act together for Alsónána!,Alsónána,Alsónána,Hawthorn Association,HU05-0098 - Act together for Alsónána!,"Parents living in Alsónána are middle-aged or pensioners who need community programs, and opportunity to participate in cultural programs, village beautiication, and leisure activities. They are willing to offer their time and energy for these. Thus, the main aims of the project are to strengthen the cooperation between people and organizations and to boost community life. Also to help citizens to work in partnership with the local government for the development of the village and civil organizations to take responsibility and participate in it actively. Another objective is that the organization will be able to function independently from state and governmental support.","A projekt célja a közösségi élet fellendítése és a lakosok bevonása az alsónánai közéletbe közösségi programok, és közös stratégiai tervezés segítségével. A program ösztönzi az önszerveződő csoportok alakulását és aktivizálja a meglévőket valamint felkészíti őket az önálló, független működésre. Hosszú távú cél, hogy a falu lakói tudatos állampolgárként, az önkormányzattal partneri együttműködésben dolgozzanak a falu fejlesztéséért.A programok közvetett célcsoportja a környező települések lakói: Szálka, Mórágy Kismórágy, Bátaapáti, Várdomb (9400 fő), és a kistérség polgrámesterei (25 fő).",,€7 579
Közösség és szervezetfejlesztés,community and organizational development,5,NCTA-2013-0964-C,Magyar Pszichodráma Egyesület,Én az ő helyükben - és tényleg!,If I were they – and indeed!,Budapest,Budapest,Hungarian Association for Psychodrama,HU05-0075 - If I were they – and indeed!,"Communities in Hungary are divided. Disruptions in dialogue and cooperation have grown into a grave problem on both national and local levels. Civic issues can become strongly politicized. The direct objective is to increase the efficiency of democratic individuals and groups functioning in NGOs by applying the method of ‘sociodrama in small groups’. The aim of the project is to achieve a measurable increase in the efficiency of democratic decision making processes in the target groups by utilizing their resources. Group sessions of 10 hours will be held once for each of the five participating NGOs, who suffer from some difficulties in their relations, communication or functioning, followed by a meeting with a professional impact analyst. The learning processes of the NGOs will lead to a spill-over effect contributing to achieve higher levels of understanding and cooperation, and overcome the current division lines that fragment Hungarian society.","A Magyar Pszichodráma Egyesület \"Én az ő helyükben ...és tényleg!\" projektjében a szociodráma segítségével öt civil szervezet dolgozói közt fejleszti az együttműködést. A beavatkozás hatékonyságát is mérik, az eredményeket pedig közzéteszik. A projekt hosszú távú célja, hogy a szociodráma, mint társas / társadalmi problémák kezelésére kidolgozott, hatásvizsgálatokkal alátámasztott csoportmódszer, Magyarországon is beépüljön a köztudatba és a közhasználatba.",,€9 389
Közösség és szervezetfejlesztés,community and organizational development,80,NCTA-2013-3280-C,Lendületben Kicsikért és Nagyokért Egyesület,Szárnyas malac éve,Year of Winged Pig,Patapoklosi,Patapoklosi,"In Motion for \"Small and Large\" Association",HU05-0106 - Year of Winged Pig,"The community survey conducted in Patapoklosi village highlighted the need to help develop children and parents as well as that of for strengthening the local NGO. This project provides an opportunity to develop the young organization, through the extension of partnerships (with 5 organizations), development of methodological knowledge, addressing the settlement’s community and promoting the internal values of the organization. They will involve the segregated (20) families of the village into a one-year joint learning and creative process. During handicraft workshops creative experts and inhabitants will teach the parents and volunteers of the organization. They will learn how and what to play with the community’s children. The 8-month-long creative process will be concluded with a joint puppet performance and a fair. They establish a toy collection providing developing games for the children. The most creative children can participate a one-week camp of Bóbita Puppet Theatre.","A projekt a fiatal patapoklosi egyesület megerősítését és a településen élő roma és nem roma családok közti kapcsolat felépítését célozza. A projekthez csatlakozik öt civil szervezet és húsz családot vonnak be, akik közös programokat (kézműves műhelyt, kiállítást, bábelőadást, nyári tábort) szerveznek. A kézműves műhelyeken játékokat készítenek, melyekből kiállítás készül, és a gyerekek egyhetes bábszínházas nyári táboron vesznek részt.",,€6 848
