Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0259-S,Periféria Egyesület,Periphery Association,Szegénységben élő roma nők társadalmi helyzetének javítása szociális és egészségügyi szolgáltatásokkal Nyíregyházán,Enhancing the social status of roma women at Nyíregyháza by providing social and health services,"The association's goal is to prevent the poor, mainly Roma women living in the infamous Huszár-estate from becomeing prostitutes and wants to help their integration. The 300 families of the neighbourhood live in deep poverty in ruinous flats. Child poverty is present in each family, because of the low education level: the lack of professions and earnings the needs are covered by social aids, child supports, usury and prostitution. With club activities, health prevention, home economics, social work, expert and know-how exchange and by sharing good practices the association helps these women in making more conscious choices, praise the value of studying, evolve a positive self-image and health culture, and make them know their rights. The project is implemented by an multidisciplinary team contributing to the improvement of the women’s social status. The results will be utilized in upcoming projects and for the social workers working in other institutions.","A projekt célja, hogy megelőzze a Nyíregyházán a Huszár-telepen szegénységben élő, főképpen roma nők és fiatal lányok prostituálttá válását, és elősegítse társadalmi integrációjukat. A telepen élő 300 család mélyszegénységben él a nyomort megjelenítő lakásokban. A gyerekek szegénysége minden családot érintő probléma, ahol a szükségletek kielégítése az alacsony iskolai végzettség miatt, szakma nélkül és munkajövedelem hiányában szociális segélyekből, gyerekek után kapott támogatásokból, uzsorából és prostitúcióból történik. A projekttel szeretnék elérni, hogy a nőknél felértékelődjön a tanulás, kialakuljon a pozitív önkép és egészségkultúra, képessé váljanak döntéseket hozni, jogaikkal élni. A projekt öt fő elemre épül: klubfoglalkozások, egészségügyi prevenció, háztartási ismeretek, szociális munka, szakembercsere tudás- és jó gyakorlatok átadásával. A tevékenységek hozzájárulnak a közvetett és közvetlen célcsoport megismeréséhez, a nők tudatosabb választásainak kialakításához, a prostitúció helyett alternatívák megtalálásához, a megelőzés kialakításához, a tudás- és gyakorlatcserével pedig a szakemberek ismereteinek és eszközeinek bővítéséhez.",Szabolcs-Szatmár-Bereg,19 010 050,,Nyíregyháza
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0262-Z,Szabolcs-Szatmár-Beregi Természet és Környezetvédelmi Kulturális Értékőrző Közhasznú Alapítvány,"Conservation, Environmental and Cultural Value Protection Public Benefit Foundation of Szabolcs-Szatmár-Bereg",Egyedi Tájértékek védelme Szatmár-Beregben,Protection of individual landscape values in Szatmár-Bereg,"Szatmár-Bereg is a region rich in natural and cultural values and the Szatmár-Bereg Landscape Protection Area is the institution responsible for its protection. However, the region has several important natural values which have not been included in the Protection Area because of it's size, still they represent integral and defining parts of the landscape. The foundation has already made a survey in 71 settlements about these small dimensioned unique landscape values. Unfortunately the local governments have not used the professional materials they received, and didn't create any (officially) protected areas or objects. 4 years have passed since the survey and some of these unique landscape values have disappeared because of the lack of their protection. Now in this project the foundation conducts the survey again, monitors the occurred changes and submits proposals to the local governments in order tor declare thzem as protected areas and develop management plans for the remained values. The local residents will be informed and motivated, too, via local events, information boards and with prizes offered for their participation in the programs.","Szatmár- Bereg természeti és kulturális értékekben országos tekintetben is gazdag területnek számít, melynek megóvásáért a Szatmár-Beregi Tájvédelmi Körzet felelős. A térség több olyan jelentős természeti értékkel is rendelkezik, amely főként kiterjedése miatt nem került bele a tájvédelmi körzet területébe, azonban a táj szerves részét képezve nagyban meghatározza azt. Az alapítvány korábban elvégezte ezeknek a kis kiterjedésű, de komoly jelentőségű, úgynevezett Egyedi Tájértékeknek a felvételezését 71 település esetében. Az akkori munka sajnos eredménytelen maradt, mivel a helyi önkormányzatok nem tettek semmit a részükre átadott szakmai anyaggal, így nem jöhettek létre helyi (önkormányzati) védettséggel rendelkező területek, objektumok. A felmérés óta eltelt 4 évben ezen egyedi tájértékek egy bizonyos hányada a védettség hiányában megsemmisült. Most újra elvégzik a felmérést, dokumentálják a változásokat és a megmaradt értékekre vonatkozóan helyi védetté nyilvánítási javaslatokat és kezelési terveket nyújtanak be az önkormányzatoknak, elkerülve a korábbi hibákat. A helyi lakosság figyelmét a helyszíneken kihelyezett táblákkal, illetve térségbeli rendezvényeken hívják fel. A programokon résztvevők díjakat kapnak.",Szabolcs-Szatmár-Bereg,14 823 480,,Fehérgyarmat
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0265-Z,"""Kis Túr"" Természetvédelmi Köhasznú Egyesület",Kis Túr Conservation Association,Mentsük meg természeti értékeinket!,Let's save our natural values!,"The aim of the association is to preserve and to protect the fauna and the nature reserve value of the river Kis-Túr. In this project they raise awareness (with conferences, exhibitions and actions) about the environmental problems and try to find solutions with the involvement of the young poeple's community. By restituting the original vegetation of the landscape, they create a more liveable environment which can start beneficial economic processes in this region.","A „Kis Túr” Természetvédelmi Közhasznú Egyesület célja Kis- Túr folyó élővilágának, természeti értékeinek megőrzése, védelme, rendezvények, kiállítások és közös akciók segítségével. A tennivalókat a szervezők és a bevont célcsoportok közösen határozzák meg. A tájhonos növényzet visszaállításával élhetőbb környezetet teremtenek, mely kedvező gazdasági folyamatokat indíthat el a térségben. A célcsoportok a 10-18 éves korosztály, pedagógusok, szakmai szervezetek, természetvédelemmel foglalkozó civil szervetek, a térségben működő települési önkormányzatok, családok, de közvetetten a lakosság egésze. A projekt részei egy tájökológiai konferencia, melyen meghatározzák a tennivalókat, kiállítást szerveznek ahol a természeti értékeket mutatják be, és konzultációt tartanak. Emellett szemétszedési és tájhonos faültetési akciót szerveznek a folyó menti területeken.",Szabolcs-Szatmár-Bereg,2 132 919,,Fülesd
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0266-Z,Zempléni Gombász Egyesület,Zemplén Mycologist Association,A Zempléni Gombász Egyesület törekvései az emberekért és a természetért,Actions for people and nature by the Mycological Association of Zemplén,"This association aimed at educating as many people as possible about the beauties and dangers of mushroom hunting, and the aspects of environmental friendly mushroom picking: the professional, conscious and restriced collection of mushrooms, protecting the forests and other habitats of fungi. With a series of events (presentations, exhibitions, mushroom picking excursions) they reach out to children, teachers and anyone who already practices mushroom hunting as a hobby or profession.","Az egyesület célja, hogy minél több emberrel ismertesse meg a gombászás szépségeit és veszélyeit valamint az, hogy a környezettudatos gombászás kultúráját terjessze. A profi, tudatos és visszafogott gombaszedéssel hozzájárulhatnak az erdők és gombák élőhelyeinek megóvásához. A szervezők előadásokkal, kiállításokkal és gombaszedő kirándulások segítségével kívánják céljukat elérni.",Borsod-Abaúj-Zemplén,2 380 500,,Sátoraljaújhely
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0269-Z,Zemplén Help Alapítvány,Zemplén Help Foundation,Állatvédelmi centrum és állattartási kultúra fejlesztése Sárospatakon,Animal protection center and improving the culture of keeping pets in Sárospatak,"Zemplén Help is a small, volunteer-based organization running a dog-shelter in Sárospatak. In this project their goal was to develop the animal keeping culture in the town and also to renovate and expand their shelter. They teach young people about the basics of correct attitudes towards animal protection in order to prevent the killing of animals by the animal control authorities, to prevent cruelty against animals, ruthless animal keeping and to reduce the number of unwanted progeny.",A Zemplén Help önkéntes alapon működtet kutyamenhelyet Sárospatakon. Projektjükben az állattartás kultúráját szeretnék fejleszteni településükön valamint a menhelyet szeretnék fejleszteni. Fiataloknak szóló oktatási programjukkal a megfelelő állattartást és állatvédelmet segítik elő.,Borsod-Abaúj-Zemplén,21 431 822,,Sárospatak
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0287-Z,Zöld Akció Egyesület,Green Action Association,Fenntartható fogyasztási és életpályaminták népszerűsítése Borsod-Abaúj-Zemplén megyében,Promoting sustainable consuption and lifestyle patterns in Borsod-Abaúj-Zemplén county,"Green Action's aim was to promote sustainable consumption and rural lifestyle in Borsod-Abaúj-Zemplén county. Their main target group are young people, high school students, therefore they try to integrate this subject in the secondary schools' curricula. In the course of the project they give extracurricular lessons about sustainable food consumption, organize farm visits for school groups, publish a creative contest about the subject (with a travelling exhibition) with a sustainability weekend for the best participants and prepare teaching materials and publications on the subject.","A Zöld Akció a fenntartható fogyasztási mintákat és a vidéki életmódot népszerűsíti. Fő célcsoportjuk a fiatal korosztály, a gimnazisták ezért a témákat a kötelező tantervbe igyekeznek beépíteni. A projekt során rendhagyó foglalkozásokat, gazdaságlátogatásokat és kreatív pályázatot is szerveznek a fiataloknak. A pályaművekből kiállítás készül, a verseny nyertesei pedig fenntarthatósági hétvégére mehetnek.",Borsod-Abaúj-Zemplén,6 890 265,,Miskolc
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0289-Z,Helyipiac.hu Közhasznú Egyesület,Helyipiac.hu Public Benefit Association,Táji adottságokhoz alkalmazkodó gyümölcsfajták megőrzése és hasznosítása,Conservation and use of fruit landscape varieties,"The goal of helyipiac.hu is to save the native, old fruit species of the Carpathian Basin and to promote environmentally friendly farming relying on the environmental advantages of using these native fruit species. In the project they create community-based model gardens in 10 villages (partly on church-owned lands), teach fruit production and fruit processing methods to the participants.","A helyipiac.hu célja a Kárpát-medencei ősi gyümölcs tájfajták, a biodiverzitás megőrzése, termelésbe vonása és közösségépítés. Ennek érdekében egyházi és nem-egyházi közösségi mintakerteket hoznak létre a helyi együttműködésre alapozva. Tíz közösséget vonnak be, és ismertetik meg velük a gyümölcsész tudást és annak környezetvédelmi előnyeit, segítenek a kertek kialakításában. A fenntartható gazdálkodás a hátrányos helyzetű közösségek gazdasági-társadalmi megújulásának forrása lehet.",Szabolcs-Szatmár-Bereg,17 660 888,,Rozsály
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0290-Z,Somosi Környezetnevelési Központ,Somos Environmental Education Center,Környezeti tanácsadást - másként,Eco-counselling - in another way,"The association aimed at regenerating the existing free public environmental counselling serivces. For the sake of this goal they improve the professional cooperation among every experienced or beginner advisory organization who has interest in such activities. They conducted researches about the experienced advisory organizations, analyze the public inquires and assess the expectations of beginner organizations. Based on this comprehensive research, a development plan was created that can be used as a basis for the regeneration.","A projekt célja az ingyenes környezeti tanácsadó szolgálat megújítása, felfrissítése. A cél érdekében fejlesztik a szakmai együttműködést a tapasztalt és a kezdő szervezetek közt. Ennek érdekében felmérik  a tapasztalt tanácsadó szervezeteket, elemzik a megkereséseket és a kezdő szervezetek elvárásait. Az átfogó felmérés alapján fejlesztési tervet készítenek, amely a megújulás alapja lesz.",Nógrád,1 780 000,,Somoskőújfalu
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0291-S,Holdam Önsegítő és Ismeretterjesztő Egyesület,Holdam (My Moon) Self-Help and Awareness Raising Association,AKTÍV ANYÁK HANGJA - az önszerveződés mintáinak átadása hátrányos helyzetű anyáknak,ACTIVE MOTHERS' VOICE - transferring self-help community models to disadvantaged mothers,"Active Mothers' voice aims to create innovative and creative community activities to motivate mothers in solving their social problems together. 'Holdam' association is strenghtening disadvatanged women's groups by involving them in caring communities.They help through personal life situations and processes the following topics: equal rights for mothers, domestic violence, representing mothers' voice in local communities, creating safe home and safe local places, positive value-based life strategies. The project started with a research and sensitizing trainings and continues with community self-help workshops for mothers. Finally they will organize several community actions (publication of Active Mothers' Voice magazine, outreach programs with mother groups of different backgrounds, joint family meetings and a summer camp).","Az ""Aktív anyák hangja"" projekt célja újszerű, kreatív közösségi cselekvésmódokat kidolgozni és működtetni a helyi anyák aktivizálására, egyéni szociális problémáik közös megoldására. A hátrányosabb helyzetű női csoportok önszerveződő képességét azzal erősítik meg, hogy gondoskodó női csoportba vonják őket hosszú távon, és egyéni élethelyzeteken keresztül dolgoznak fel olyan témákat mint az anyák esélyegyenlősége, családon belüli erőszak, anyák érdekérvényesítése a helyi társadalomban, önismereten nyugvó, értékalapú életszemlélet a biztonságos család és lokális terek, közösségek megteremtésére.",Borsod-Abaúj-Zemplén,23 547 400,,Miskolc
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0301-S,Vesebetegek B.-A.-Z. Megyei Egyesülete,Nephropathic Patient's Organezation of Borsod County,Szociális szolgáltatások nyújtása végstádiumú veseelégtelen betegeknek,Social services for end-stage kidney-failure patients,"The goal of this project was to improve the life quality and opportunities of 400 ESRD (end stage renal disease) patients, by creating a supporting environment, developing the patient's self -aring abilities and with social help for the poorer patients. The project focuses on Roma patients and large families and creates employment for those who have the capacity. The project started with problem analysis and the creation of a patient database, and the with assesment of needs and necessary services. The further project elements are: „FOR ALL” – programs to extend the social space and improve the quality of life (yoga, swimming, excursions, cultural and community events); „WE HELP” – 120 hours/week social help for patients in the worst condition; „OUR FUTURE” – 20 hours/week help for disadvantaged children, community events and camp.","A projekt 400 végstádiumú vesebeteg életminőségének javításához járul hozzá támogató társadalmi környezet kialakításával, a legsúlyosabb állapotú, rossz anyagi helyzetű betegek szociális segítésével, a roma és nagycsaládos betegek gyermekei integrációjának támogatásával, a betegek aktivitásának fokozásával, a munkára képes és kész betegek számára speciális foglalkoztatási formák megteremtésével. A projektet helyzetelemzéssel kezdik és zárják, ennek során adatbázis készül a betegekről és a szükséges szolgáltatásokról. További tevékenységek:„MINDENKINEK”címmel a szociális tér tágítása, életminőség javítás, egészségfejlesztő programok. „SEGÍTÜNK”címmel szociális segítés a legrosszabb állapotú betegeknek heti 120 órában.„JÖVŐNK”címmel hátrányos helyzetű betegek gyermekeinek személyi segítése heti 20 órában, közösségi rendezvények, táboroztatás.",Borsod-Abaúj-Zemplén,10 188 560,,Nyíregyháza
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0306-Z,Zöldutak Módszertani Egyesület,Greenways Methodology Association,"Zöldutas közösségfejlesztés a fenntarthatóságért, környezettudatosságért, az élő falvak hálózatos együttműködéséért","Greenways-based community development for sustainability, environmental awareness and the network building of living villages","The organizations cooperating in this project set themselves the goal to establish living communities with sustainable connections and activities. In 57 municipalities of Nógrád county they intend to create a model with the help of the Greenway methodology and community-based planning to sustain the endangered rural life. The main elements of the project are first to find and involve key persons of the settlements, explore traditional knowledge, farming and crafting methods, as well as organize courses about these, establish gene banks for indigenous fruit types,""model gardens” at schools, planting and maintaining native fruit trees; organize tour guide trainings and build a network connecting and planning greenways, finally to support local product sales and organizing shopping communities.","A projektben együttműködő szervezetek célja élő közösségek, munkalehetőséget teremtő és találó családok, környezeti- társadalmi és gazdasági szempontból is fenntartható térségi kapcsolatok és tevékenységek kialakítása. Nógrád megye 51 településén térségi összefogással, közösségi tervezéssel, komplex, a helyi adottságokhoz illeszkedő, a helyi problémákra megoldási lehetőségeket kínáló zöldutas módszer segítségével egy modellt mutatnak a végveszélyben lévő vidéki létforma életben maradására, megújítására, fenntarthatóságára. A projekt célcsoportja a települések lakossága.",Nógrád,20 588 980,,Alsópetény
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0308-S,Szalonnai Sport és Közösségfejlesztő Egyesület,Sport and Community Development Association of Szalonna,Szalonnai Közösség Szolgáltató Modell,Model community service of Szalonna,"In order to help integration and to create a receptive and equal society, the association of Szalonna develops their community place through labor market related trainings and services. The project involves 30 people (age: 15-59) living in the village in the Edelény district of multiple disadvantage, who have inadequate schooling, inadequate vocational education and are unemployed or inactive. The project components are: training and labour market services, consulting, social services, digital competency development, development of basic skills, individual and small group development focused on individual needs and abilities, preparation for placement in training /employment and development of a cooperative network.","A befogadóbb és igazságosabb társadalom érdekében a Szalonna egyesület egy közösségi házat fejleszt a munkaerőpiachoz kapcsolódó szolgáltatások és képzések szervezésével. A résztvevők az edelényi LHH kistérségben élő 30 fő 15-59 év közötti alacsony iskolai végzettségű, szakképzettséggel nem rendelkező, nem megfelelő középfokú végzettségű munkanélküliek vagy inaktív személyek, akik közül 25 fő roma, 15-15 férfi-nő. A tevékenységek közt szerepel képzés és munakerőpiaci szolgáltatások, konzultáció, szociális szolgáltatások, digitális kompetencia fejlesztés, valamint az egyéni készségekre és igényekre alapuló egyéni és kiscsoportos fejlesztés.",Borsod-Abaúj-Zemplén,18 828 000,,Szalonna
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0315-S,Bihar Fejlődéséért Egyesület,Bihar's Development Association,Kistérségi Kilábalás 2.0,Smallregion Recovery 2.0,"The association provides a debt-management service with 20 mentors in Bihar sub-region, which is the extention of a pervious TAMOP-5.3.5 program. In that program they have built up a mentoring network, whose members are family helpers working for the local government, as they are associated with those families who are most in trouble and need help. The mentors successfully finished the state debt-management course during the program, so now they are professional experst of debt management. On this basis, the organization continues the work with this network. The target groups are families in debt in this disadvantaged sub-region.","A szervezet adósságkezelő szolgáltatást üzemeltet 20 mentor részvételével a Berettyóújfalui kistérségben, egyTÁMOP 5.3.5 program keretében. A mentorhálózat kialakítását már elvégezték a meglévő önkormányzati üzemeltetésű családsegítőkkel, ők kapcsolatban állnak azokkal a családokkal, akik a legnagyobb bajban vannak, és a leginkább segítségre szorulnak. A mentorok államilag elismert adósság kezelői tanfolyamot is elvégeztek. Egy korábbi kistérségi kutatás és tapasztalataik segítik azt a bizalmi kapcsolatra épülő stratégiát, mely a célcsoport beazonosítását és hatékony elérését biztosítja, melyben a családok személyes, diszkrét tanácsadást vesznek igénybe. Jelen projektben az adósságkezelő hálózat fenntartását és bővítését folytatják.",Hajdú-Bihar,21 240 000,, Berettyóújfalu
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0338-S,Regionális Érdekvédelem Alapítvány,Regional Advocacy Foundation,Biztos bizonyítvány - hátrányos helyzetű gyermekek és családjaik segítése,Proof certificate - helping the disadvantaged children and their families,"The goal of the project was to prevent the dropout of students, and instead improve their school records and help them thereby increase the employment rate of jobbless youngsters (aged 16 to 25) in Nyíregyháza. Through complex care and programs  young people are taking part in vocational trainings and eventually going to finish their studies and/or start working. Their parents and families also take part in these. The resulting methodology will be disseminated among professional and educational organizations.","A projekt célja a diákok lemorzsolódásának megakadályozása és tanulmányi eredményük javítása Nyíregyházán. A fiatalok a projekt segítő szolgáltatásainak eredményeképpen szakképzésbe kerülnek, vagy sikeresen befejezik tanulmányaikat; vagy munkaviszonyt létesítenek. Szüleik, hozzátartozóik képzésbe lépnek, vagy munkába állnak. A szakmai szervezetek, oktatási intézmények megismerkednek a projekt eredményeivel, az alkalmazott módszertannal; Szakmai együttműködések alakulnak ki honlap és szakkönyv jelenik meg a projektről.",Szabolcs-Szatmár-Bereg,22 984 900,,Nyíregyháza
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0346-S,Borsod-Abaúj-Zemplén Megyei Tanya- és Falugondnokok Egyesülete,Association of Village and Farm Wardens of Borsod-Abaúj-Zemplén county,Közösségi szolgáltatások a Sajómenti aprófalvakban,Community services in the small villages along the Sajó,"The goal of this project was to improve human resources of the association and its partner and to establish community services, community clubs and a Roma group in 6 rural settlements. The supporting power of these are expected to act as prevention tools that strengthen the social network, with trainings, mentoring, publications about club management and study trips in the county. Within the framework of the project 10 people are trained as club managers, and they reach out to several others through distance education and launch one Roma group and six community clubs.","A projekt célja az egyesület és egy térségi civil szervezet humán erőforrásának megerősítése, fejlesztése, ezáltal 6 vidéki kistelepülésen közösségi szolgáltatások, klubok és egy roma csoport kialakítása, mely a közösség megtartó ereje révén prevenciós célt szolgál, a kapcsolati háló erősítésével közösségeket alakít ki, mint segítő/szociális szolgáltatás.A programban tíz klubvezetőt képeznek ki, akik egy Roma klubot és hat egyéb közösségi klubot indítanak el.",Borsod-Abaúj-Zemplén,10 783 000,,Miskolc
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0354-Z,Életminőségért Alapítvány,For Life Quality Foundation,Közlekedésfejlesztés civil összefogással,Transport development through civic cooperation,"With the involvement of local citizens and NGOs the foundation aimed at reviewing and commenting the alternatives of the Eger Transportation Plan and to create a study about that. The study answers the following questions: ""For how long can Eger’s road-system keep up with the increased need of the vehicles and parking places? Does the traffic mop up every area in the town, or is it possible to resolve the parking problems with effective improvements?"" To avoid the suburban problems the following issues need to be solved: public transport accessibility of the main spots (restriction of individual transport), acclereation of transit traffic. The results will be published and sent to the the town’s Assembly, to incorporate the results in the Transport Development Plan.","A projekt célja Eger Közlekedésfejlesztési Tervének környezeti szempontú elemzése, véleményezése, alternatív lehetőségeket feltáró tanulmány készítése, a város lakosságának és civil szervezeteinek részvételével. A tanulmány a következő kérdésekre ad választ: ""Meddig tud lépést tartani Eger úthálózatának közlekedési adottsága a gépjármű-szám és a parkolási helyigény növekedéssel? Minden területet felemészt-e a közlekedés a városban, vagy sikerül-e feloldani a parkolási gondokat célszerű és hatékony fejlesztésekkel?"" A szuburbanizációs problémák elkerüléséhez lehetővé kell tenni a fontos pontok elérését közösségi közlekedéssel (az egyéni közlekedés ésszerű korlátozása mellett) és fel kell gyorsítani az átmenő forgalmat. Az elkészült tanulmányt a város közgyűlése elé terjesztik.",Heves,1 891 000,,Eger
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0357-Z,CSERHÁT NATÚRPARK KÖZHASZNÚ ALAPÍTVÁNY,Cserhát Naturepark Foundation,ÉLŐ CSERHÁT,LIVING CSERHÁT,"With the sustainable utilization of local resources, the project aims at preserving the biological diversity and the natural and cultural values of the Cserhat Nature Park as an integrated cultural landscape. Through transferring traditional, environmentally sound farming methods the foundation helps the self-sufficiency and development of the region as well. The elements of the project are: awareness raising campaign about conservation of biodiversity in the Cserhát Nature Park; survey and trainings about the knowledge and tools of traditional farming and food production; creation and management of farming study plots.","A projekt a helyi források fenntartható hasznosításával kíván hozzájárulni a biológiai diverzitás megőrzéséhez és a Cserhát Natúr Park természeti és kulturális örökségeinek megőrzéséhez. Ennek érdekében a fenntarthatóság figyelembevételével természetkímélő, hagyományos tájhasználaton alapuló gazdálkodási formák átadása történik, melyek önfenntartó módon működve elősegítik a térség önellátását, fejlődését.",Nógrád,10 762 000,,Hollókő
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0360-Z,Beklen a Nagykunsági Civil Társadalomért Alapítvány,Beklen for the Nagykunság Civil Society Foundation,Állattartástól a helyi élelmiszerig: tájvédelmi törekvések nagykunsági helyi fogyasztói kultúra fejlesztésével,From animal husbandry to local food: landscape protection through improving local consumption culture in Nagykunság,"For the sake of the ecological regeneration potential of the land, this project focuses on sustainable land use methods with the Hungarian grey cattle. Besides promoting such methods and local products, the organizers also want to establish a community-based milk processing plant. This being a pilot project 8-9 person can participate in the activities and 3-4 similar initiatives would learn from the modell as well, but the results will benefit the inhabitants of whole Mezőtúr, too.","A Beklen Egyesület a táj ökológiai regenerációs képességét fejleszti a fenntartható tájhasználat népszerűsítésével, a tejtermékre koncentráló közösségi feldolgozó infrastruktúra megteremtésével, és a helyi termékek népszerűsítésével. A modellértékű közösségi tejfeldolgozó létrehozásában 8-9 személy vehet részt, és 3-4 hasonló kezdeményezés tanulhat belőle.",Jász-Nagykun-Szolnok,17 243 000,,Túrkeve
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0380-S,Igazgyöngy Alapítvány,Igazgyöngy Foundation,Esélyteremtés az integrációhoz,Creating opportunity for integration,"With strengthening and further developing an already existing model this project provides an adaptable solution to the problems of social groups living in deep poverty and segregation. The target groups are the inhabitants of Told village, especially the Roma people. The activities of the project are integrated in the already implemented strategic development, covering such areas that so far have been untackled due to lack of resources. Program elements are related to self-suffiency, community development, expansion of knowledge, skills concerning sense of identity, tolerance and co-operation. A significant element of the strategic development is to create and develop new connections among the various branches and institutions involved, which generally improves the quality of support work, Roma integration, and the sustainability of the project results. For these purposes, organizational development both in the case of the institutions and the various local communities is a crucial element. Eventually, the foundation hopes to spread an honest, human attitude in the institutional system that can help to create trust based atmosphere.","A projekt célja, hogy egy megkezdett integrációs modellt megerősítsen, továbbfejlesszen és adaptálható megoldást nyújtson a mélyszegénységben, szegregátumban élő társadalmi csoport problémáira. Célcsoportjai Told község lakosai, ezen belül kiemelten a roma lakosság. A projekt tevékenységei integrálódnak az eddigi fejlesztésbe, olyan hiányterülteket lefedve, melyekre eddig nem volt lehetőség. A tevékenységek az önfenntartásra, közösségfejlesztésre, tudásbővítésre, identitástudat, tolerancia és együttműködési képességek fejlesztésére irányulnak. A bevont személyek a toldi lakosok, kiemelten a nagycsaládos romák. A fejlesztés fontos része új kapcsolatok kialakítás és fejlesztése a résztvevő ágazatok és intézmények között, melyek általában is javítják a segítő munkát, a roma integrációt és biztosítják a projekt eredményeinek fenntarthatóságát. Végül a szervezők szeretnék, ha az a bizalmi légkörön alapuló, humánus szemlélet, amivel az Igazgyöngy eddigi eredményeit elérte beépülhetne a hivatali rendszerbe is. Ennek érdekében a szervezetfejlesztés velük és a település különböző közösségeivel is fontos elem.",Hajdú-Bihar,21 670 200,,Berettyóújfalu
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0390-S,Szendrőládi Népfőiskolai Egyesület,Folk High School Association of Szendrőlád,Nemadomfel Ház - Fejlesztő modellprogram,Idontgiveup House - Development Program,"In 2009, the association started a generative integrational program and established the Never Give Up House for the children of Szendrőlád living in extreme poverty. This project is the continuation of these efforts and now the foundation wants to extend their programs to the whole community in order to achieve long-term change. By the renovating a building that was donated to the foundation a local center is to be opened where the underprivileged inhabitants of all ages could participate in programs. Besides a field trip will be organized  to visit Buchs, Switzerland - where the Reitsportzentrum Buchs SG opened their doors to receive children from Szendrőlád.","Az egyesület 2009-ben indította fejlesztő felzárkóztató programját és megalapította a Nemadomfel Házat Szendrőládon mélyszegénységben élő roma gyermekek számára. Valódi változás azonban csak úgy érthető el, ha minden korosztályt be tudnak vonni, ezért a programot most a teljes közösségre kiterjesztik.  Egy adományba kapott ingatlan felújításával olyan közösségi központot hoznak létre, ahol minden korosztály számára programot tudnak biztosítani. A felújítást követően a már a kisgyermekek számára működő programok mellett tanfolyamokat, klubokat, és nagyobb közösségépítő programokat indítanak.",Borsod-Abaúj-Zemplén,12 036 920,,Szendrőlád
Svájci Magyar Civil és Ösztöndíj Alap,SMCA-2012-0404-S,Selyeb Fejlesztésért Közhasznú Egyesület,Public Benefit Association for the Development of Selyeb,Selyeb virágozz!,Let Selyeb flourish!,"This community development project aimed at strenghtening the relationships within the community and at increasing the self-consciousness of its members, by laying the foundations of a social cooperative. The organizers established a club, where people can meet, talk, create handmade products, play music or dance. Besides they build a greenhouse, to cultivate flowers that will be sold, and the handicrafts and the services of the music and dance group as well. The income serves the extension of the greenhouse and the backyard chicken farming.","Egy szociális gazdaság alapításával szeretné megerősíteni a közösség kapcsolatait és növelni a tagok tudatosságát a selyebi egyesület. A szervezők klubot alapítottak, ahol lehetőség van találkozni, beszélgetni, kézműveskedni, zenélni, táncolni. Emellett egy fóliasátor is készül, ahol virágokat termelnek, amit a környéken értékesítenek, és további bevételt jelent az egyesület zenekarának szolgáltató tevékenysége is. A jövedelemből a fóliasátor bővítését és háztáji baromfitartás indítását szeretnék elkezdeni.",Borsod-Abaúj-Zemplén,2 143 000,,Selyeb
